Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome_Log,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
0,128.0,360.0,1,1,8.674196940225903,True,False,False,False,False,True
1,128.0,360.0,1,0,8.714731714015052,True,True,False,False,False,False
0,66.0,360.0,1,1,8.006700845440367,True,True,False,True,False,True
0,120.0,360.0,1,1,8.505525386548555,True,True,True,False,False,True
0,141.0,360.0,1,1,8.699681400989514,True,False,False,False,False,True
2,267.0,360.0,1,1,9.170975648453906,True,True,False,True,False,True
0,95.0,360.0,1,1,8.25582842728183,True,True,True,False,False,True
3,158.0,360.0,0,0,8.61993026886735,True,True,False,False,True,False
2,168.0,360.0,1,1,8.618485442898109,True,True,False,False,False,True
1,349.0,360.0,1,0,10.077860939480908,True,True,False,False,True,False
2,70.0,360.0,1,1,8.268988209506656,True,True,False,False,False,True
2,109.0,360.0,1,1,8.375860015299594,True,True,False,False,False,True
2,200.0,360.0,1,1,9.32188174670909,True,True,False,False,False,True
0,114.0,360.0,1,0,8.454040376410969,True,False,False,False,False,False
2,17.0,120.0,1,1,7.777373602657861,True,True,False,False,False,True
0,125.0,360.0,1,1,8.507344855361422,True,False,False,False,False,True
1,100.0,240.0,1,1,8.187855443695623,True,False,True,False,False,True
0,76.0,360.0,0,0,8.163656176168432,False,False,False,False,False,True
0,133.0,360.0,1,0,8.494538500851432,True,True,True,False,False,False
0,115.0,360.0,1,1,8.716207971151853,True,True,False,False,False,True
0,104.0,360.0,0,0,8.94389780251682,True,True,True,False,False,True
1,315.0,360.0,1,1,9.357121103184378,True,True,False,False,False,True
0,116.0,360.0,0,0,8.414495793177895,True,True,True,False,True,False
2,112.0,360.0,0,0,8.572249397164315,True,True,True,False,False,False
1,151.0,360.0,1,0,8.80131894766524,True,True,False,False,True,False
0,191.0,360.0,1,1,9.165447603085447,True,True,False,True,True,False
0,122.0,360.0,1,1,8.527737405291909,True,True,False,False,True,False
2,110.0,360.0,1,1,8.569216219483389,True,True,True,False,False,True
0,35.0,360.0,1,0,7.274479558773871,True,False,True,False,False,True
2,120.0,360.0,1,1,8.671458150427666,False,False,False,False,True,False
1,201.0,360.0,1,0,8.927446816256198,True,True,False,False,False,True
0,74.0,360.0,1,0,8.060855752934316,True,False,False,False,False,True
1,106.0,360.0,1,0,8.453827315794417,True,False,False,True,False,False
0,114.0,360.0,1,1,8.550241045462437,True,True,False,False,True,False
3,320.0,360.0,1,0,9.648659816955295,True,False,False,False,False,False
0,128.0,360.0,1,1,8.376320632534823,True,True,False,False,False,True
0,100.0,360.0,0,0,8.058010800802085,True,True,False,False,False,True
0,144.0,360.0,1,1,8.5422759717837,False,True,False,False,True,False
0,184.0,360.0,1,1,9.339349052539717,True,False,False,False,False,True
0,110.0,360.0,1,1,8.597297435657898,True,False,True,False,True,False
0,80.0,360.0,1,0,8.188966863648876,True,False,False,False,False,True
0,47.0,360.0,1,1,8.01102337918644,True,False,False,False,False,True
0,75.0,360.0,1,1,7.783640596221253,True,True,False,False,False,True
0,134.0,360.0,1,1,8.744806737401898,True,True,False,False,True,False
0,96.0,360.0,1,1,8.454466361507933,True,True,True,True,False,True
0,88.0,360.0,1,1,8.134760782418645,False,False,False,False,False,True
1,44.0,360.0,1,1,8.639410824140487,True,True,False,False,False,True
0,144.0,360.0,1,1,8.669399124305569,True,True,False,False,False,True
0,120.0,360.0,0,0,8.713746330456916,False,True,False,False,False,True
0,144.0,360.0,1,1,8.744488113852924,False,False,False,False,True,False
0,100.0,360.0,1,1,8.181160858023409,False,True,True,False,True,False
0,120.0,360.0,1,1,8.034955024502159,False,False,False,False,True,False
0,112.0,360.0,1,0,8.350193650720067,False,False,False,False,True,False
2,134.0,360.0,1,0,8.43750042250699,True,True,False,False,False,True
1,286.0,360.0,0,0,9.350189267092581,False,True,False,True,False,True
2,97.0,360.0,1,1,8.262558973010657,True,True,False,False,True,False
0,96.0,360.0,1,1,8.222553638396958,True,True,False,False,True,False
0,135.0,360.0,1,0,8.624611588183507,True,True,False,False,False,False
1,180.0,360.0,1,1,9.242904362849446,True,True,False,False,False,True
2,144.0,360.0,1,1,8.735042754269337,True,True,True,False,False,True
0,120.0,360.0,1,1,8.747828608488742,True,True,False,False,False,True
3,99.0,360.0,1,1,8.016317898503415,True,True,False,False,False,True
0,165.0,180.0,0,0,8.70930004894499,True,True,True,True,False,False
1,128.0,360.0,0,0,8.506334448081361,True,True,False,False,False,False
0,116.0,360.0,0,0,8.334951631422454,False,False,False,False,True,False
0,258.0,360.0,1,0,9.242032818708672,True,True,False,False,True,False
0,126.0,180.0,0,0,8.604287898267172,True,False,True,False,False,True
1,312.0,360.0,1,1,9.282754052485227,True,True,False,False,False,True
3,125.0,60.0,1,1,8.867990898182093,True,True,True,True,False,True
0,136.0,360.0,0,0,8.366602832783736,False,False,False,False,True,False
0,172.0,360.0,1,1,8.744328763999984,True,True,False,False,False,True
2,97.0,360.0,1,1,8.229777750081887,True,True,True,True,True,False
0,81.0,300.0,1,1,8.160803920954665,True,False,False,False,True,False
3,95.0,360.0,0,0,8.467162257810672,True,True,True,False,True,False
3,187.0,360.0,1,1,8.859505484519133,True,True,False,True,True,False
0,113.0,480.0,1,0,8.229777750081887,True,False,False,False,False,True
0,176.0,360.0,1,0,9.04793908261736,True,False,False,False,False,True
1,110.0,360.0,1,0,8.299783171949787,True,True,False,True,False,True
3,180.0,300.0,0,0,8.877381954654766,True,True,False,False,True,False
3,130.0,360.0,1,1,8.612503371220562,True,True,True,True,True,False
0,111.0,360.0,1,1,8.255048902752295,False,False,False,False,True,False
1,128.0,360.0,1,1,7.78155595923534,True,True,False,True,True,False
